label,scenario,n_cells,n_genes,n_clusters,n_interactions,n_jobs,n_perms,repeats,status,reason,seconds_min,seconds_median,seconds_mean,seconds_per_perm
pr,cells_10k,10045,48,20,2304,1,250,2,completed,,0.23212779097957537,0.23481643699051347,0.23481643699051347,0.0009392657479620538
pr,cells_10k,10045,48,20,2304,2,250,2,completed,,0.15130654198583215,0.1513423754950054,0.1513423754950054,0.0006053695019800216
pr,cells_10k,10045,48,20,2304,8,250,2,completed,,0.12361970799975097,0.1544312914920738,0.1544312914920738,0.0006177251659682952
pr,cells_10k,10045,48,20,2304,1,500,2,completed,,0.39113262499449775,0.39572916699398775,0.39572916699398775,0.0007914583339879755
pr,cells_10k,10045,48,20,2304,2,500,2,completed,,0.24014908401295543,0.24179233399627265,0.24179233399627265,0.0004835846679925453
pr,cells_10k,10045,48,20,2304,8,500,2,completed,,0.16966179097653367,0.17190177048905753,0.17190177048905753,0.00034380354097811506
pr,cells_10k,10045,48,20,2304,1,1000,2,completed,,0.7419804999954067,0.7454330415057484,0.7454330415057484,0.0007454330415057484
pr,cells_10k,10045,48,20,2304,2,1000,2,completed,,0.41509079100796953,0.4189011870039394,0.4189011870039394,0.0004189011870039394
pr,cells_10k,10045,48,20,2304,8,1000,2,completed,,0.2650032910169102,0.2651787914946908,0.2651787914946908,0.00026517879149469083
pr,cells_120k,120001,48,100,2304,1,250,2,completed,,4.4075222089886665,4.630567562999204,4.630567562999204,0.018522270251996816
pr,cells_120k,120001,48,100,2304,2,250,2,completed,,2.7729273329896387,2.785386187490076,2.785386187490076,0.011141544749960304
pr,cells_120k,120001,48,100,2304,8,250,2,completed,,1.9815175420080777,2.122145563000231,2.122145563000231,0.008488582252000925
pr,cells_120k,120001,48,100,2304,1,500,2,completed,,7.62228708298062,7.622688936986378,7.622688936986378,0.015245377873972756
pr,cells_120k,120001,48,100,2304,2,500,2,completed,,4.453205124998931,4.504664353997214,4.504664353997214,0.009009328707994427
pr,cells_120k,120001,48,100,2304,8,500,2,completed,,2.893585832993267,3.0031615829939255,3.0031615829939255,0.006006323165987851
pr,cells_120k,120001,48,100,2304,1,1000,2,completed,,14.101755959010916,14.15002731300774,14.15002731300774,0.01415002731300774
pr,cells_120k,120001,48,100,2304,2,1000,2,completed,,7.867737584019778,7.92646325052192,7.92646325052192,0.007926463250521919
pr,cells_120k,120001,48,100,2304,8,1000,2,completed,,4.444631082995329,4.573297312497743,4.573297312497743,0.004573297312497743
pr,cells_40k,40033,48,60,2304,1,250,2,completed,,1.5823690829856787,1.5991311874822713,1.5991311874822713,0.006396524749929086
pr,cells_40k,40033,48,60,2304,2,250,2,completed,,0.9828010839992203,1.004022270994028,1.004022270994028,0.004016089083976112
pr,cells_40k,40033,48,60,2304,8,250,2,completed,,0.6609978749766015,0.7950202079809969,0.7950202079809969,0.0031800808319239877
pr,cells_40k,40033,48,60,2304,1,500,2,completed,,2.8136201669985894,2.8205258959933417,2.8205258959933417,0.005641051791986683
pr,cells_40k,40033,48,60,2304,2,500,2,completed,,1.6084492500231136,1.6759690625185613,1.6759690625185613,0.0033519381250371226
pr,cells_40k,40033,48,60,2304,8,500,2,completed,,0.9661814999999478,0.9909440000046743,0.9909440000046743,0.0019818880000093487
pr,cells_40k,40033,48,60,2304,1,1000,2,completed,,5.245342667010846,5.2880786875175545,5.2880786875175545,0.005288078687517555
pr,cells_40k,40033,48,60,2304,2,1000,2,completed,,2.8620097910170443,2.8924191875121323,2.8924191875121323,0.0028924191875121324
pr,cells_40k,40033,48,60,2304,8,1000,2,completed,,1.4995347920048516,1.539933979496709,1.539933979496709,0.001539933979496709
pr,cells_80k,80017,48,80,2304,1,250,2,completed,,2.795249999995576,2.8042900414875476,2.8042900414875476,0.01121716016595019
pr,cells_80k,80017,48,80,2304,2,250,2,completed,,1.7291526249900926,1.7851530625048326,1.7851530625048326,0.007140612250019331
pr,cells_80k,80017,48,80,2304,8,250,2,completed,,1.302662166999653,1.443877687503118,1.443877687503118,0.0057755107500124725
pr,cells_80k,80017,48,80,2304,1,500,2,completed,,4.808547957974952,4.87207622898859,4.87207622898859,0.00974415245797718
pr,cells_80k,80017,48,80,2304,2,500,2,completed,,2.8551364169979934,2.8671867295051925,2.8671867295051925,0.005734373459010385
pr,cells_80k,80017,48,80,2304,8,500,2,completed,,1.8313591250043828,1.8381638124992605,1.8381638124992605,0.003676327624998521
pr,cells_80k,80017,48,80,2304,1,1000,2,completed,,9.043621250020806,9.07689300000493,9.07689300000493,0.00907689300000493
pr,cells_80k,80017,48,80,2304,2,1000,2,completed,,4.974469083012082,5.035654958002851,5.035654958002851,0.005035654958002851
pr,cells_80k,80017,48,80,2304,8,1000,2,completed,,2.8312822919979226,2.9091414169961354,2.9091414169961354,0.002909141416996135
